date,y_true,y_pred,pos,r_gross,cost,r_net,model,H,strategy,tau,phase,allow_short,tc_bps,use_non_overlapping,is_baseline,ref_model
2022-06-07,0.0021478090849669,0.0005385688620616,1,0.0021478090849669,0.0,0.0021478090849669,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-08,0.0066096663650272,0.0006296028720626,1,0.0066096663650272,0.0,0.0066096663650272,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-09,0.0089695349863996,0.0018818983076017,1,0.0089695349863996,0.0,0.0089695349863996,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-10,0.008889797110358,0.0016987390682756,1,0.008889797110358,0.0,0.008889797110358,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-13,0.0041785435917196,0.0029225486370886,1,0.0041785435917196,0.0,0.0041785435917196,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-14,-0.0034175085473782,0.0004597889862411,1,-0.0034175085473782,0.0,-0.0034175085473782,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-15,-0.0146561366655548,0.0001998052294015,1,-0.0146561366655548,0.0,-0.0146561366655548,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-16,0.0102722546803653,0.0027267533201542,1,0.0102722546803653,0.0,0.0102722546803653,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-17,0.0,-5.811403440232863e-05,-1,-0.0,0.0002,-0.0002,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-20,-0.0025821273850334,0.0006592677613985,1,-0.0025821273850334,0.0002,-0.0027821273850334003,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-21,-0.0022048611721912,0.0001809673398691,1,-0.0022048611721912,0.0,-0.0022048611721912,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-22,0.0022048611721912,0.0007327076560014,1,0.0022048611721912,0.0,0.0022048611721912,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-23,-0.0023968181744118,0.000284776905435,1,-0.0023968181744118,0.0,-0.0023968181744118,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-24,-0.0023063627367498,-0.0004417501137855,-1,0.0023063627367498,0.0002,0.0021063627367497997,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-27,0.0054689510261161,0.0008695031520345,1,0.0054689510261161,0.0002,0.005268951026116101,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-28,0.0057246602288509,0.0016012577406821,1,0.0057246602288509,0.0,0.0057246602288509,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-29,-0.0040993431733173,0.0010800787845275,1,-0.0040993431733173,0.0,-0.0040993431733173,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-06-30,0.0043847177293567,0.000971422213947,1,0.0043847177293567,0.0,0.0043847177293567,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-01,0.0,0.0003528765876675,1,0.0,0.0,0.0,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-04,0.0132277060975507,0.0008875234601152,1,0.0132277060975507,0.0,0.0132277060975507,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-05,0.0052424759648497,0.0006116258502537,1,0.0052424759648497,0.0,0.0052424759648497,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-06,0.0002800728207636,0.0011674107387073,1,0.0002800728207636,0.0,0.0002800728207636,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-07,-0.0011207622355566,0.0003216573252919,1,-0.0011207622355566,0.0,-0.0011207622355566,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-08,0.0093941071258347,0.0006652739462862,1,0.0093941071258347,0.0,0.0093941071258347,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-11,0.0004627701503299,0.0021495130684447,1,0.0004627701503299,0.0,0.0004627701503299,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-12,-0.0010183771652707,0.0010796544201466,1,-0.0010183771652707,0.0,-0.0010183771652707,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-13,0.0053579804854546,0.0008856753836173,1,0.0053579804854546,0.0,0.0053579804854546,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-14,-0.0044321402193387,0.0007704614694809,1,-0.0044321402193387,0.0,-0.0044321402193387,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-15,-0.0064058149698755,-6.760054562704836e-05,-1,0.0064058149698755,0.0002,0.006205814969875501,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-18,-0.0064471141322304,0.0011679882312454,1,-0.0064471141322304,0.0002,-0.006647114132230399,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-19,0.0037425193383384,-0.0002986833717322,-1,-0.0037425193383384,0.0002,-0.0039425193383384,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-20,-0.0015888596267439,0.0005046967580413,1,-0.0015888596267439,0.0002,-0.0017888596267439001,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-21,-0.0016850780995349,-0.0002019900088813,-1,0.0016850780995349,0.0002,0.0014850780995349,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-22,-0.0023451068390167,0.0014115552413322,1,-0.0023451068390167,0.0002,-0.0025451068390167,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-25,0.0066457866165716,0.0010486715072814,1,0.0066457866165716,0.0,0.0066457866165716,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-26,-0.0069275693639392,0.0014412623628147,1,-0.0069275693639392,0.0,-0.0069275693639392,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-07-27,-0.0009398496932426,-0.0004905228997746,-1,0.0009398496932426,0.0002,0.0007398496932426,ElasticNet,1,model,0.0,0,True,1.0,True,False,
